FileIndex,InstanceName,Cost
1,c515-1,306
1,c515-2,316
1,c515-3,323
1,c515-4,320
1,c515-5,306
2,c520-1,379
2,c520-2,346
2,c520-3,391
2,c520-4,374
2,c520-5,371
3,c525-1,554
3,c525-2,518
3,c525-3,521
3,c525-4,539
3,c525-5,503
4,c530-1,607
4,c530-2,562
4,c530-3,565
4,c530-4,515
4,c530-5,571
5,c824-1,510
5,c824-2,490
5,c824-3,524
5,c824-4,519
5,c824-5,503
6,c832-1,696
6,c832-2,663
6,c832-3,653
6,c832-4,674
6,c832-5,665
7,c840-1,813
7,c840-2,780
7,c840-3,807
7,c840-4,788
7,c840-5,836
8,c848-1,892
8,c848-2,985
8,c848-3,1029
8,c848-4,927
8,c848-5,890
9,c1030-1,620
9,c1030-2,631
9,c1030-3,619
9,c1030-4,600
9,c1030-5,611
10,c1040-1,783
10,c1040-2,786
10,c1040-3,826
10,c1040-4,804
10,c1040-5,800
11,c1050-1,865
11,c1050-2,896
11,c1050-3,988
11,c1050-4,900
11,c1050-5,905
12,c1060-1,1173
12,c1060-2,1226
12,c1060-3,1173
12,c1060-4,1243
12,c1060-5,1152
